# NOTE: 07.12.2015 20:29:47
# Onboard parameters saved by mavparam for (1, 1)
# MAV ID	COMPONENT ID	PARAM NAME	VALUE	(TYPE)
1	1	CAL_GYRO1_ID	2228490	6
1	1	CAL_GYRO1_XOFF	0.17807671427726746	9
1	1	CAL_GYRO1_XSCALE	1.0	9
1	1	CAL_GYRO1_YOFF	0.06412284076213837	9
1	1	CAL_GYRO1_YSCALE	1.0	9
1	1	CAL_GYRO1_ZOFF	0.059403762221336365	9
1	1	CAL_GYRO1_ZSCALE	1.0	9
1	1	CAL_GYRO_PRIME	2163722	6
1	1	CAL_MAG0_ID	131594	6
1	1	CAL_MAG0_ROT	-1	6
1	1	CAL_MAG0_XOFF	-0.3484109044075012	9
1	1	CAL_MAG0_XSCALE	1.0	9
1	1	CAL_MAG0_YOFF	0.09566573798656464	9
1	1	CAL_MAG0_YSCALE	1.0	9
1	1	CAL_MAG0_ZOFF	0.3121347725391388	9
1	1	CAL_MAG0_ZSCALE	1.0	9
1	1	CAL_MAG1_ID	0	6
1	1	CAL_MAG1_ROT	-1	6
1	1	CAL_MAG2_ID	0	6
1	1	CAL_MAG2_ROT	-1	6
1	1	CAL_MAG_PRIME	131594	6
1	1	CBRK_AIRSPD_CHK	0	6
1	1	CBRK_ENGINEFAIL	284953	6
1	1	CBRK_FLIGHTTERM	121212	6
1	1	CBRK_GPSFAIL	240024	6
1	1	CBRK_IO_SAFETY	0	6
1	1	CBRK_NO_VISION	0	6
1	1	CBRK_RATE_CTRL	0	6
1	1	CBRK_SUPPLY_CHK	0	6
1	1	CBRK_USB_CHK	0	6
1	1	COM_AUTOS_PAR	1	6
1	1	COM_DISARM_LAND	0	6
1	1	COM_DL_LOSS_EN	0	6
1	1	COM_DL_LOSS_T	10	6
1	1	COM_DL_REG_T	0	6
1	1	COM_EF_C2T	5.0	9
1	1	COM_EF_THROT	0.5	9
1	1	COM_EF_TIME	10.0	9
1	1	COM_HOME_H_T	5.0	9
1	1	COM_HOME_V_T	10.0	9
1	1	COM_RC_IN_MODE	0	6
1	1	COM_RC_LOSS_T	0.5	9
1	1	GF_ACTION	1	6
1	1	GF_ALTMODE	0	6
1	1	GF_COUNT	-1	6
1	1	GF_MAX_HOR_DIST	-1	6
1	1	GF_MAX_VER_DIST	-1	6
1	1	GF_SOURCE	0	6
1	1	INAV_DELAY_GPS	0.20000000298023224	9
1	1	INAV_DISAB_MOCAP	0.0	9
1	1	INAV_ENABLED	1	6
1	1	INAV_FLOW_DIST_X	0.0	9
1	1	INAV_FLOW_DIST_Y	0.0	9
1	1	INAV_FLOW_K	0.15000000596046448	9
1	1	INAV_FLOW_Q_MIN	0.30000001192092896	9
1	1	INAV_LAND_DISP	0.699999988079071	9
1	1	INAV_LAND_T	3.0	9
1	1	INAV_LAND_THR	0.20000000298023224	9
1	1	INAV_LIDAR_ERR	0.5	9
1	1	INAV_LIDAR_FILT	0.05000000074505806	9
1	1	INAV_W_ACC_BIAS	0.05000000074505806	9
1	1	INAV_W_GPS_FLOW	0.10000000149011612	9
1	1	INAV_W_MOC_P	10.0	9
1	1	INAV_W_XY_FLOW	9.0	9
1	1	INAV_W_XY_GPS_P	1.0	9
1	1	INAV_W_XY_GPS_V	2.0	9
1	1	INAV_W_XY_RES_V	0.5	9
1	1	INAV_W_XY_VIS_P	7.0	9
1	1	INAV_W_XY_VIS_V	0.0	9
1	1	INAV_W_Z_BARO	0.20000000298023224	9
1	1	INAV_W_Z_GPS_P	0.004999999888241291	9
1	1	INAV_W_Z_GPS_V	0.0	9
1	1	INAV_W_Z_LIDAR	3.0	9
1	1	INAV_W_Z_VIS_P	5.0	9
1	1	LED_RGB_MAXBRT	15	6
1	1	LNDMC_ROT_MAX	20.0	9
1	1	LNDMC_THR_MAX	0.15000000596046448	9
1	1	LNDMC_XY_VEL_MAX	1.5	9
1	1	LNDMC_Z_VEL_MAX	0.699999988079071	9
1	1	MAV_COMP_ID	1	6
1	1	MAV_FWDEXTSP	1	6
1	1	MAV_RADIO_ID	0	6
1	1	MAV_SYS_ID	1	6
1	1	MAV_TEST_PAR	1	6
1	1	MAV_TYPE	2	6
1	1	MAV_USEHILGPS	0	6
1	1	MC_ACRO_P_MAX	360.0	9
1	1	MC_ACRO_R_MAX	360.0	9
1	1	MC_ACRO_Y_MAX	360.0	9
1	1	MC_PITCHRATE_D	0.003000000026077032	9
1	1	MC_PITCHRATE_FF	0.0	9
1	1	MC_PITCHRATE_I	0.05000000074505806	9
1	1	MC_PITCHRATE_MAX	220.0	9
1	1	MC_PITCHRATE_P	0.10000000149011612	9
1	1	MC_PITCH_P	4.5	9
1	1	MC_RATT_TH	1.0	9
1	1	MC_ROLLRATE_D	0.003000000026077032	9
1	1	MC_ROLLRATE_FF	0.0	9
1	1	MC_ROLLRATE_I	0.05000000074505806	9
1	1	MC_ROLLRATE_MAX	220.0	9
1	1	MC_ROLLRATE_P	0.10000000149011612	9
1	1	MC_ROLL_P	4.5	9
1	1	MC_YAWRATE_D	0.0	9
1	1	MC_YAWRATE_FF	0.0	9
1	1	MC_YAWRATE_I	0.10000000149011612	9
1	1	MC_YAWRATE_MAX	60.0	9
1	1	MC_YAWRATE_P	0.20000000298023224	9
1	1	MC_YAW_FF	0.5	9
1	1	MC_YAW_P	2.799999952316284	9
1	1	MIS_ALTMODE	1	6
1	1	MIS_DIST_1WP	900.0	9
1	1	MIS_ONBOARD_EN	1	6
1	1	MIS_TAKEOFF_ALT	2.5	9
1	1	MIS_YAWMODE	0	6
1	1	MPC_HOLD_MAX_XY	0.5	9
1	1	MPC_HOLD_MAX_Z	0.5	9
1	1	MPC_HOLD_XY_DZ	0.10000000149011612	9
1	1	MPC_HOLD_Z_DZ	0.10000000149011612	9
1	1	MPC_LAND_SPEED	1.0	9
1	1	MPC_MANTHR_MAX	0.8999999761581421	9
1	1	MPC_MANTHR_MIN	0.11999999731779099	9
1	1	MPC_MAN_P_MAX	35.0	9
1	1	MPC_MAN_R_MAX	35.0	9
1	1	MPC_MAN_Y_MAX	120.0	9
1	1	MPC_THR_MAX	0.8999999761581421	9
1	1	MPC_THR_MIN	0.17000000178813934	9
1	1	MPC_TILTMAX_AIR	45.0	9
1	1	MPC_TILTMAX_LND	15.0	9
1	1	MPC_VELD_LP	5.0	9
1	1	MPC_XY_FF	0.5	9
1	1	MPC_XY_P	1.5	9
1	1	MPC_XY_VEL_D	0.009999999776482582	9
1	1	MPC_XY_VEL_I	0.019999999552965164	9
1	1	MPC_XY_VEL_MAX	5.0	9
1	1	MPC_XY_VEL_P	0.10000000149011612	9
1	1	MPC_Z_FF	0.5	9
1	1	MPC_Z_P	1.75	9
1	1	MPC_Z_VEL_D	0.0	9
1	1	MPC_Z_VEL_I	0.009999999776482582	9
1	1	MPC_Z_VEL_MAX	3.0	9
1	1	MPC_Z_VEL_P	0.10000000149011612	9
1	1	NAV_ACC_RAD	2.0	9
1	1	NAV_AH_ALT	600.0	9
1	1	NAV_AH_LAT	-265847810	6
1	1	NAV_AH_LON	1518423250	6
1	1	NAV_DLL_AH_T	120.0	9
1	1	NAV_DLL_CHSK	0	6
1	1	NAV_DLL_CH_ALT	600.0	9
1	1	NAV_DLL_CH_LAT	-266072120	6
1	1	NAV_DLL_CH_LON	1518453890	6
1	1	NAV_DLL_CH_T	120.0	9
1	1	NAV_DLL_N	2	6
1	1	NAV_DLL_OBC	0	6
1	1	NAV_GPSF_LT	30.0	9
1	1	NAV_GPSF_P	0.0	9
1	1	NAV_GPSF_R	15.0	9
1	1	NAV_GPSF_TR	0.699999988079071	9
1	1	NAV_LOITER_RAD	50.0	9
1	1	NAV_RCL_LT	120.0	9
1	1	NAV_RCL_OBC	0	6
1	1	PWM_AUX_DISARMED	1000	6
1	1	PWM_AUX_MAX	2000	6
1	1	PWM_AUX_MIN	1000	6
1	1	PWM_AUX_REV1	0	6
1	1	PWM_AUX_REV2	0	6
1	1	PWM_AUX_REV3	0	6
1	1	PWM_AUX_REV4	0	6
1	1	PWM_AUX_REV5	0	6
1	1	PWM_AUX_REV6	0	6
1	1	PWM_DISARMED	900	6
1	1	PWM_MAIN_REV1	0	6
1	1	PWM_MAIN_REV2	0	6
1	1	PWM_MAIN_REV3	0	6
1	1	PWM_MAIN_REV4	0	6
1	1	PWM_MAIN_REV5	0	6
1	1	PWM_MAIN_REV6	0	6
1	1	PWM_MAIN_REV7	0	6
1	1	PWM_MAIN_REV8	0	6
1	1	PWM_MAX	1950	6
1	1	PWM_MIN	1075	6
1	1	PWM_SBUS_MODE	0	6
1	1	RC10_DZ	0.0	9
1	1	RC10_MAX	2000.0	9
1	1	RC10_MIN	1000.0	9
1	1	RC10_REV	1.0	9
1	1	RC10_TRIM	1500.0	9
1	1	RC11_DZ	0.0	9
1	1	RC11_MAX	2000.0	9
1	1	RC11_MIN	1000.0	9
1	1	RC11_REV	1.0	9
1	1	RC11_TRIM	1500.0	9
1	1	RC12_DZ	0.0	9
1	1	RC12_MAX	2000.0	9
1	1	RC12_MIN	1000.0	9
1	1	RC12_REV	1.0	9
1	1	RC12_TRIM	1500.0	9
1	1	RC13_DZ	0.0	9
1	1	RC13_MAX	2000.0	9
1	1	RC13_MIN	1000.0	9
1	1	RC13_REV	1.0	9
1	1	RC13_TRIM	1500.0	9
1	1	RC14_DZ	0.0	9
1	1	RC14_MAX	2000.0	9
1	1	RC14_MIN	1000.0	9
1	1	RC14_REV	1.0	9
1	1	RC14_TRIM	1500.0	9
1	1	RC15_DZ	0.0	9
1	1	RC15_MAX	2000.0	9
1	1	RC15_MIN	1000.0	9
1	1	RC15_REV	1.0	9
1	1	RC15_TRIM	1500.0	9
1	1	RC16_DZ	0.0	9
1	1	RC16_MAX	2000.0	9
1	1	RC16_MIN	1000.0	9
1	1	RC16_REV	1.0	9
1	1	RC16_TRIM	1500.0	9
1	1	RC17_DZ	0.0	9
1	1	RC17_MAX	2000.0	9
1	1	RC17_MIN	1000.0	9
1	1	RC17_REV	1.0	9
1	1	RC17_TRIM	1500.0	9
1	1	RC18_DZ	0.0	9
1	1	RC18_MAX	2000.0	9
1	1	RC18_MIN	1000.0	9
1	1	RC18_REV	1.0	9
1	1	RC18_TRIM	1500.0	9
1	1	RC1_DZ	10.0	9
1	1	RC1_MAX	1912.0	9
1	1	RC1_MIN	1103.0	9
1	1	RC1_REV	1.0	9
1	1	RC1_TRIM	1516.0	9
1	1	RC2_DZ	10.0	9
1	1	RC2_MAX	1932.0	9
1	1	RC2_MIN	1105.0	9
1	1	RC2_REV	-1.0	9
1	1	RC2_TRIM	1520.0	9
1	1	RC3_DZ	10.0	9
1	1	RC3_MAX	1929.0	9
1	1	RC3_MIN	1121.0	9
1	1	RC3_REV	-1.0	9
1	1	RC3_TRIM	1929.0	9
1	1	RC4_DZ	10.0	9
1	1	RC4_MAX	1945.0	9
1	1	RC4_MIN	1092.0	9
1	1	RC4_REV	1.0	9
1	1	RC4_TRIM	1521.0	9
1	1	RC5_DZ	10.0	9
1	1	RC5_MAX	2000.0	9
1	1	RC5_MIN	1000.0	9
1	1	RC5_REV	1.0	9
1	1	RC5_TRIM	1500.0	9
1	1	RC6_DZ	10.0	9
1	1	RC6_MAX	2071.0	9
1	1	RC6_MIN	966.0	9
1	1	RC6_REV	1.0	9
1	1	RC6_TRIM	1518.0	9
1	1	RC7_DZ	10.0	9
1	1	RC7_MAX	2000.0	9
1	1	RC7_MIN	1000.0	9
1	1	RC7_REV	1.0	9
1	1	RC7_TRIM	1500.0	9
1	1	RC8_DZ	10.0	9
1	1	RC8_MAX	2000.0	9
1	1	RC8_MIN	1000.0	9
1	1	RC8_REV	1.0	9
1	1	RC8_TRIM	1500.0	9
1	1	RC9_DZ	0.0	9
1	1	RC9_MAX	2000.0	9
1	1	RC9_MIN	1000.0	9
1	1	RC9_REV	1.0	9
1	1	RC9_TRIM	1500.0	9
1	1	RC_ACRO_TH	0.0	9
1	1	RC_ASSIST_TH	0.3333333432674408	9
1	1	RC_AUTO_TH	0.6666666865348816	9
1	1	RC_CHAN_CNT	7	6
1	1	RC_DSM_BIND	-1	6
1	1	RC_FAILS_THR	0	6
1	1	RC_LOITER_TH	0.0	9
1	1	RC_MAP_ACRO_SW	0	6
1	1	RC_MAP_AUX1	0	6
1	1	RC_MAP_AUX2	0	6
1	1	RC_MAP_AUX3	0	6
1	1	RC_MAP_FAILSAFE	0	6
1	1	RC_MAP_FLAPS	0	6
1	1	RC_MAP_LOITER_SW	0	6
1	1	RC_MAP_MODE_SW	6	6
1	1	RC_MAP_OFFB_SW	5	6
1	1	RC_MAP_PARAM1	0	6
1	1	RC_MAP_PARAM2	0	6
1	1	RC_MAP_PARAM3	0	6
1	1	RC_MAP_PITCH	2	6
1	1	RC_MAP_POSCTL_SW	0	6
1	1	RC_MAP_RATT_SW	0	6
1	1	RC_MAP_RETURN_SW	0	6
1	1	RC_MAP_ROLL	1	6
1	1	RC_MAP_THROTTLE	3	6
1	1	RC_MAP_YAW	4	6
1	1	RC_OFFB_TH	0.25	9
1	1	RC_POSCTL_TH	0.0	9
1	1	RC_RATT_TH	0.5	9
1	1	RC_RETURN_TH	0.0	9
1	1	RC_RSSI_PWM_CHAN	0	6
1	1	RC_RSSI_PWM_MAX	1000	6
1	1	RC_RSSI_PWM_MIN	2000	6
1	1	RC_TH_USER	1	6
1	1	RTL_DESCEND_ALT	10.0	9
1	1	RTL_LAND_DELAY	-1.0	9
1	1	RTL_RETURN_ALT	30.0	9
1	1	SDLOG_EXT	-1	6
1	1	SDLOG_GPSTIME	1	6
1	1	SDLOG_RATE	-1	6
1	1	SENS_BARO_QNH	1013.25	9
1	1	SENS_BOARD_ROT	0	6
1	1	SENS_BOARD_X_OFF	1.088897466659546	9
1	1	SENS_BOARD_Y_OFF	-0.06296875327825546	9
1	1	SENS_BOARD_Z_OFF	0.0	9
1	1	SENS_DPRES_ANSC	0.0	9
1	1	SENS_DPRES_OFF	0.0	9
1	1	SENS_EN_LL40LS	0	6
1	1	SENS_FLOW_ROT	0	6
1	1	SYS_AUTOCONFIG	0	6
1	1	SYS_AUTOSTART	4001	6
1	1	SYS_COMPANION	0	6
1	1	SYS_PARAM_VER	1	6
1	1	SYS_RESTART_TYPE	0	6
1	1	SYS_USE_IO	1	6
1	1	TRIG_MODE	0	6
1	1	TRIM_PITCH	0.0	9
1	1	TRIM_ROLL	0.0	9
1	1	TRIM_YAW	0.0	9
1	1	UAVCAN_ENABLE	0	6
